epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3463.31,0.34884,0.26146,0.81329,0.97771,0.89615,0.94359,0.88872,inf,0.48044,0.93299,0.00118008,0.00118008,0.00118008
43,3545.09,0.34982,0.26373,0.81277,0.97752,0.89668,0.94522,0.89268,0.536,0.48891,0.9222,0.00116008,0.00116008,0.00116008
44,3627.02,0.34312,0.26127,0.81202,0.9809,0.89397,0.94461,0.89074,0.53568,0.4752,0.91869,0.00114009,0.00114009,0.00114009
45,3708.76,0.34338,0.25933,0.81136,0.98101,0.8994,0.94642,0.89144,0.53266,0.46194,0.91627,0.00112009,0.00112009,0.00112009
46,3790.39,0.33999,0.25505,0.81087,0.98055,0.90072,0.94696,0.89444,0.51919,0.46485,0.91627,0.00110009,0.00110009,0.00110009
47,3872.58,0.33888,0.25495,0.81171,0.97912,0.90167,0.9472,0.89358,0.5258,0.45396,0.91481,0.00108009,0.00108009,0.00108009
48,3954.56,0.33852,0.25477,0.81049,0.98236,0.90523,0.94774,0.89495,0.51907,0.45053,0.91494,0.00106009,0.00106009,0.00106009
49,4036.36,0.33668,0.24971,0.80973,0.9813,0.90331,0.94759,0.89466,0.52076,0.44432,0.91386,0.0010401,0.0010401,0.0010401
50,4118.58,0.33784,0.25028,0.81041,0.97917,0.90546,0.94784,0.89526,0.50588,0.44332,0.90409,0.0010201,0.0010201,0.0010201
51,4200.76,0.33647,0.24779,0.80962,0.97945,0.91026,0.9503,0.89821,0.49562,0.41923,0.90127,0.0010001,0.0010001,0.0010001
52,4282.91,0.33825,0.24828,0.81131,0.98184,0.90786,0.95068,0.89871,0.49463,0.41189,0.90041,0.000980102,0.000980102,0.000980102
53,4364.81,0.33753,0.24827,0.8092,0.98251,0.91052,0.95153,0.89896,0.49418,0.39978,0.89761,0.000960104,0.000960104,0.000960104
54,4446.79,0.34014,0.24852,0.81087,0.98265,0.91057,0.95148,0.89803,inf,0.39599,0.89944,0.000940106,0.000940106,0.000940106
55,4528.68,0.33599,0.24573,0.80843,0.98403,0.91201,0.95223,0.90081,0.48246,0.39355,0.89684,0.000920108,0.000920108,0.000920108
56,4610.38,0.32955,0.23804,0.80747,0.98423,0.91324,0.95349,0.90205,0.47065,0.37309,0.89302,0.00090011,0.00090011,0.00090011
57,4692.31,0.32923,0.23687,0.80716,0.98537,0.91363,0.95348,0.9021,0.47533,0.37668,0.89259,0.000880112,0.000880112,0.000880112
58,4774.31,0.33202,0.24025,0.80793,0.98468,0.91136,0.95316,0.90271,0.472,0.36954,0.88949,0.000860114,0.000860114,0.000860114
59,4856.29,0.3279,0.23494,0.80604,0.98323,0.9161,0.95401,0.90285,0.46082,0.35479,0.88215,0.000840116,0.000840116,0.000840116
60,4938.2,0.33031,0.23442,0.80662,0.98626,0.91679,0.95497,0.90442,0.45209,0.35026,0.88516,0.000820118,0.000820118,0.000820118
