epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,123.706,2.56522,2.04658,1.38933,0.33365,0.17705,0.15436,0.05158,2.60623,2.28348,1.58752,0.00118008,0.00118008,0.00118008
43,125.623,2.52208,1.99014,1.36302,0.30765,0.15958,0.14208,0.04728,2.5946,2.29823,1.58252,0.00116008,0.00116008,0.00116008
44,127.373,2.47851,2.03521,1.36306,0.26693,0.17127,0.13205,0.04526,2.60087,2.29909,1.58533,0.00114009,0.00114009,0.00114009
45,129.135,2.49901,1.96505,1.347,0.32447,0.16575,0.15043,0.05238,2.58685,2.27741,1.60239,0.00112009,0.00112009,0.00112009
46,131.059,2.53591,2.08517,1.37904,0.30842,0.18726,0.15413,0.05186,2.57681,2.27496,1.6011,0.00110009,0.00110009,0.00110009
47,132.813,2.43165,1.92641,1.33785,0.30958,0.16022,0.15049,0.05409,2.56556,2.23884,1.61661,0.00108009,0.00108009,0.00108009
48,134.793,2.50181,1.98993,1.32531,0.2804,0.18785,0.13685,0.0502,2.53308,2.25321,1.60448,0.00106009,0.00106009,0.00106009
49,136.543,2.53644,2.00468,1.36052,0.31912,0.16575,0.13264,0.04882,2.57465,2.29201,1.65167,0.0010401,0.0010401,0.0010401
50,138.338,2.46806,1.95476,1.38609,0.29789,0.15707,0.13289,0.04487,2.62646,2.28195,1.67205,0.0010201,0.0010201,0.0010201
51,140.127,2.46808,1.91616,1.34952,0.28934,0.18785,0.14829,0.0542,2.61364,2.27003,1.64297,0.0010001,0.0010001,0.0010001
52,141.942,2.46406,1.96798,1.41358,0.31446,0.18232,0.14588,0.05456,2.59404,2.23225,1.62039,0.000980102,0.000980102,0.000980102
53,143.767,2.52397,1.90628,1.37304,0.32431,0.18232,0.14303,0.05079,2.60156,2.27627,1.65473,0.000960104,0.000960104,0.000960104
54,145.564,2.48742,1.91225,1.34209,0.33302,0.17127,0.14035,0.04501,2.6574,2.40667,1.70766,0.000940106,0.000940106,0.000940106
55,147.346,2.39773,1.87485,1.34584,0.32573,0.16022,0.13878,0.04347,2.6599,2.44229,1.69491,0.000920108,0.000920108,0.000920108
56,149.092,2.44847,1.9097,1.37015,0.34119,0.14917,0.12057,0.03956,2.64762,2.46485,1.65378,0.00090011,0.00090011,0.00090011
